Total IRAM section .iram0.text size: 95175 bytes

Function                             Size (KB)    % of IRAM   Cumulative %
===========================================================================
tlsf_realloc                              1.40         1.51%           1.51%
sta_input                                 1.22         1.31%           2.82%
ieee80211_encap_esfbuf                    1.12         1.20%           4.02%
check_trans_valid                         1.06         1.14%           5.17%
tlsf_free                                 1.01         1.08%           6.25%
tlsf_malloc                               0.97         1.05%           7.30%
ppRxFragmentProc                          0.90         0.96%           8.26%
call_start_cpu0                           0.69         0.74%           9.00%
wDev_ProcessRxSucData                     0.68         0.73%           9.73%
ppCalTxAMPDULength                        0.63         0.68%          10.41%
i2c_master_cmd_begin_static               0.62         0.67%          11.08%
s_print_psram_info                        0.58         0.63%          11.71%
rtc_clk_cal_internal                      0.55         0.59%          12.30%
ieee80211_output_process                  0.54         0.58%          12.88%
wDev_IndicateFrame                        0.54         0.58%          13.46%
esp_flash_erase_region                    0.53         0.57%          14.03%
i2c_isr_handler_default                   0.53         0.57%          14.60%
spi_hal_prepare_data                      0.53         0.57%          15.17%
spi_hal_setup_trans                       0.50         0.54%          15.71%
bootloader_flash_execute_command_common       0.48         0.51%          16.22%
xQueueGenericSend                         0.44         0.47%          16.69%
ram_phy_i2c_init1                         0.44         0.47%          17.16%
pm_parse_beacon                           0.43         0.47%          17.63%
spi_flash_hal_configure_host_io_mode       0.42         0.46%          18.08%
rtc_sleep_pu                              0.42         0.45%          18.54%
xTaskIncrementTick                        0.40         0.43%          18.97%
ppTask                                    0.40         0.43%          19.41%
esp_restart_noos                          0.40         0.43%          19.84%
spi_hal_setup_device                      0.40         0.43%          20.26%
esp_flash_write_encrypted                 0.40         0.43%          20.69%
lmacTxFrame                               0.39         0.42%          21.11%
spi_flash_hal_gpspi_configure_host_io_mode       0.39         0.42%          21.53%
esp_flash_write                           0.38         0.41%          21.94%
pm_sleep                                  0.38         0.41%          22.35%
spi_ll_master_set_line_mode               0.37         0.40%          22.75%
rtc_clk_cpu_freq_to_pll_mhz               0.37         0.40%          23.15%
esp_backtrace_print_from_frame            0.37         0.40%          23.55%
prvGetItemDefault                         0.37         0.40%          23.95%
esp_flash_init_main                       0.37         0.40%          24.35%
spimem_flash_ll_set_read_mode             0.37         0.39%          24.75%
prvAddNewTaskToReadyList                  0.36         0.39%          25.13%
ppMapTxQueue                              0.36         0.38%          25.52%
spi_flash_hal_gpspi_common_command        0.35         0.38%          25.90%
spi_flash_enable_high_performance_mode       0.33         0.36%          26.25%
rtc_clk_bbpll_configure                   0.33         0.36%          26.61%
xTaskGenericNotify                        0.33         0.36%          26.97%
spi_flash_chip_generic_config_host_io_mode       0.33         0.36%          27.32%
xPortEnterCriticalTimeout                 0.33         0.35%          27.68%
ram_phy_wakeup_init                       0.33         0.35%          28.03%
xTaskGenericNotifyWait                    0.32         0.35%          28.38%
pm_process_tim                            0.32         0.35%          28.73%
vTaskSuspend                              0.32         0.34%          29.07%
esp_flash_read                            0.32         0.34%          29.41%
prvReturnItemDefault                      0.31         0.33%          29.75%
spi_flash_hal_gpspi_device_config         0.30         0.33%          30.07%
xTaskResumeAll                            0.30         0.32%          30.39%
xTaskRemoveFromEventList                  0.29         0.31%          30.70%
gdma_start                                0.29         0.31%          31.01%
s_config_psram_spi_phases                 0.29         0.31%          31.32%
rx_11b_opt                                0.29         0.31%          31.63%
vTaskGenericNotifyGiveFromISR             0.29         0.31%          31.94%
prvSendItemDoneNoSplit                    0.28         0.30%          32.24%
esf_buf_alloc                             0.28         0.30%          32.55%
taskSelectHighestPriorityTaskSMP          0.28         0.30%          32.85%
gpspi_flash_ll_set_read_mode              0.28         0.30%          33.15%
spi_flash_hal_common_command              0.28         0.30%          33.45%
vTaskPrioritySet                          0.27         0.30%          33.75%
xQueueSemaphoreTake                       0.27         0.29%          34.04%
xEventGroupWaitBits                       0.27         0.29%          34.33%
rtc_clk_cpu_freq_get_config               0.27         0.29%          34.62%
vTaskDelete                               0.27         0.29%          34.91%
xthal_window_spill_nw                     0.27         0.29%          35.20%
spi_ll_master_select_cs                   0.26         0.28%          35.48%
ulTaskGenericNotifyTake                   0.26         0.28%          35.77%
xQueueGenericSendFromISR                  0.26         0.28%          36.05%
__assert_func                             0.26         0.28%          36.33%
vTaskSwitchContext                        0.26         0.28%          36.61%
s_do_mapping                              0.25         0.27%          36.89%
ppRxPkt                                   0.25         0.27%          37.16%
xQueueReceive                             0.25         0.27%          37.43%
heap_caps_realloc_base                    0.25         0.27%          37.70%
spi_flash_disable_interrupts_caches_and_other_cpu       0.25         0.27%          37.98%
ppProcTxSecFrame                          0.25         0.27%          38.25%
esp_psram_impl_enable                     0.25         0.27%          38.51%
spi_new_trans                             0.25         0.27%          38.78%
prvGetItemByteBuf                         0.25         0.27%          39.04%
spi_flash_hal_device_config               0.25         0.27%          39.31%
spi_intr                                  0.25         0.26%          39.57%
prvReceiveGeneric                         0.25         0.26%          39.84%
vPortSetupTimer                           0.25         0.26%          40.10%
esp_intr_disable                          0.24         0.26%          40.36%
prvCopyItemAllowSplit                     0.24         0.26%          40.62%
lldesc_setup_link_constrained             0.24         0.26%          40.88%
mspi_timing_config_flash_set_extra_dummy       0.24         0.26%          41.14%
spi_device_polling_start                  0.23         0.25%          41.39%
esp_rom_opiflash_cache_mode_config        0.23         0.25%          41.64%
esf_buf_recycle                           0.22         0.24%          41.87%
xTaskPriorityInherit                      0.22         0.24%          42.11%
xRingbufferSendFromISR                    0.22         0.24%          42.35%
rtc_clk_32k_enable                        0.22         0.23%          42.58%
xTaskCreateStaticPinnedToCore             0.21         0.23%          42.81%
rtc_clk_cal                               0.21         0.23%          43.04%
prvSendAcquireGeneric                     0.21         0.23%          43.27%
spi_flash_chip_mxic_opi_read_id           0.20         0.22%          43.49%
spi_flash_chip_generic_write_encrypted       0.20         0.22%          43.70%
prvInitialiseNewTask                      0.20         0.22%          43.92%
xQueueGiveFromISR                         0.20         0.22%          44.14%
mmu_hal_map_region                        0.20         0.21%          44.35%
prvAddCurrentTaskToDelayedList            0.20         0.21%          44.56%
spi_flash_chip_winbond_read               0.20         0.21%          44.77%
spi_flash_hal_gpspi_read                  0.19         0.21%          44.98%
prvInitializeNewRingbuffer                0.19         0.20%          45.18%
rtc_clk_cpu_freq_to_xtal                  0.19         0.20%          45.38%
esp_intr_enable                           0.19         0.20%          45.58%
ram_agc_reg_init                          0.18         0.20%          45.78%
xTaskCheckForTimeOut                      0.18         0.20%          45.98%
spi_flash_chip_generic_read               0.18         0.19%          46.17%
spi_device_polling_end                    0.18         0.19%          46.36%
esp_rom_uart_set_clock_baudrate           0.18         0.19%          46.55%
spi_bus_lock_wait_bg_done                 0.18         0.19%          46.74%
rcGetSched                                0.17         0.19%          46.93%
esp_app_get_elf_sha256                    0.17         0.19%          47.12%
